person_first_name,person_last_name,person_position,politician_name,relationship_type,relationship_description,news_article_title,source_url,confidence_level
zaldy,co,UNKNOWN,christopher "kito" co,family,Brother; both co-founded Sunwest Construction and Development Corporation and have alternated as Ako Bicol party-list representatives,"The congressman and the billions: Tracing the power of Zaldy Co",https://newsinfo.inquirer.net/2111062/the-congressman-and-the-billions-tracing-the-power-of-zaldy-co-2,10
zaldy,co,UNKNOWN,martin romualdez,project_connection,Linked in Senate and House hearings to alleged budget insertions and flood control project kickbacks; Romualdez named as close ally and implicated in the same corruption probe,"Where is Zaldy Co? The vanishing act of a Filipino congressman ...",https://gulfnews.com/world/asia/philippines/where-is-zaldy-co-the-vanishing-act-of-a-filipino-congressman-implicated-in-mega-kickbacks-mess-1.500285064,9
zaldy,co,UNKNOWN,martin romualdez,co_attendance_inauguration,Co and Romualdez both attended and were central figures in Senate Blue Ribbon Committee hearings on flood control corruption scandal,"Philippines LIVE: Senate Grills Romualdez & Zaldy Co",https://www.youtube.com/watch?v=58Mpmn7D9J4,9
zaldy,co,UNKNOWN,sherwin gatchalian,project_connection,Senator Gatchalian revealed in a Senate hearing that companies linked to Co bagged ₱47 billion in contracts from the General Appropriations Act and Unprogrammed Allocations,"Where is Zaldy Co? The vanishing act of a Filipino congressman ...",https://gulfnews.com/world/asia/philippines/where-is-zaldy-co-the-vanishing-act-of-a-filipino-congressman-implicated-in-mega-kickbacks-mess-1.500285064,8
zaldy,co,UNKNOWN,bojie dy,appointment,New House Speaker Bojie Dy revoked Co's travel clearance and demanded his return for House ethics investigation,"Where is Zaldy Co? The vanishing act of a Filipino congressman ...",https://gulfnews.com/world/asia/philippines/where-is-zaldy-co-the-vanishing-act-of-a-filipino-congressman-implicated-in-mega-kickbacks-mess-1.500285064,8
zaldy,co,UNKNOWN,ellis co,family,Son; Ellis Co publicly disowned Zaldy Co amid corruption allegations,"Where is Zaldy Co? The vanishing act of a Filipino congressman ...",https://gulfnews.com/world/asia/philippines/where-is-zaldy-co-the-vanishing-act-of-a-filipino-congressman-implicated-in-mega-kickbacks-mess-1.500285064,8
zaldy,co,UNKNOWN,christopher "kito" co,business,Co-founded and co-owned Sunwest Construction and Development Corporation, which secured major government infrastructure contracts,"Congressman Zaldy Co, his empire, and the 2025 elections",https://www.youtube.com/watch?v=kElmljsCqeM,10
zaldy,co,UNKNOWN,christopher "kito" co,project_connection,Sunwest Construction and Development Corporation, co-owned by Zaldy and Kito Co, received billions in government infrastructure projects,"The congressman and the billions: Tracing the power of Zaldy Co",https://newsinfo.inquirer.net/2111062/the-congressman-and-the-billions-tracing-the-power-of-zaldy-co-2,10
zaldy,co,UNKNOWN,department of public works and highways (DPWH),project_connection,Companies linked to Zaldy Co were awarded multi-billion peso contracts for flood control and farm-to-market road projects by DPWH,"Philippines LIVE: Senate Grills Romualdez & Zaldy Co",https://www.youtube.com/watch?v=58Mpmn7D9J4,9
zaldy,co,UNKNOWN,house of representatives,previous_position,Served as Ako Bicol party-list representative and chair of the House Appropriations Committee,"The congressman and the billions: Tracing the power of Zaldy Co",https://newsinfo.inquirer.net/2111062/the-congressman-and-the-billions-tracing-the-power-of-zaldy-co-2,10
zaldy,co,UNKNOWN,senate blue ribbon committee,co_attendance_inauguration,Subject of Senate Blue Ribbon Committee hearings on corruption in infrastructure projects,"Philippines LIVE: Senate Grills Romualdez & Zaldy Co",https://www.youtube.com/watch?v=58Mpmn7D9J4,9
